id,full_name,college,branch,year,semester,cgpa,onboarded,created_at,updated_at
e8c993a2-9c08-40e2-95f5-51af8296f7bf,Ayush,,,,,,f,2026-06-20 03:31:50.179589+00,2026-06-20 03:31:50.179589+00
2fc6ed64-7135-4292-b7bf-faa607a85abb,Stark Parker,,,,,,f,2026-06-20 12:18:24.154706+00,2026-06-20 12:18:24.154706+00
